Student_ID,Reason_For_Performance,Access_To_Resources,Study_Hours_Per_Week,Health_Issues,Teacher_Support,Parental_Support,Stress_Level,Peer_Influence,Additional_Tutoring,Use_Of_Study_Groups,Exam_Anxiety,Jamb_Scores,Num_Credit_Passes_WAEC,verdict
473bd358610e4a64a1301617c2dff335,Lack of preparation,Yes,14,No,5,4,Yes,No,No,No,Yes,132,8,Fail
7866076514f74e8d95bcb8d04094dded,Health challenges,No,17,No,1,2,No,Yes,No,No,No,297,8,Pass
39669fa759974043b3b1025bfff9f585,Confidence issues,Yes,17,No,2,3,No,Yes,Yes,No,Yes,217,6,Pass
f510ab53c7fe439f9190f938a66fd7f7,Personal issues,No,22,No,4,3,No,Yes,No,No,No,327,3,Fail
07f194f9c1154d6d8a4e5b70a6d964a3,Confidence issues,Yes,37,Yes,1,2,No,Yes,No,Yes,Yes,135,7,Fail
d6d7b3b833094d35bf4df561f319c125,Confidence issues,Yes,15,Yes,3,3,No,No,No,Yes,Yes,106,2,Fail
4fa03f26f6f740cca9ec8e49d1bdb8c0,Confidence issues,Yes,3,No,4,4,Yes,Yes,Yes,Yes,No,217,5,Pass
90e0f4a0fbdd49338bd58bf61efd76e9,Health challenges,Yes,17,Yes,1,5,No,No,Yes,No,No,364,5,Pass
8861fe1858e248888a8381bec85aca46,Confidence issues,No,40,No,5,3,No,Yes,No,Yes,No,168,3,Fail
11a726095edd4bbfa95976636daa2e68,Lack of resources,Yes,6,Yes,5,1,No,Yes,Yes,Yes,No,163,4,Fail
7d7ddbedd284476cab88f83dd97dc9cd,Confidence issues,No,30,No,3,2,No,Yes,Yes,Yes,No,202,5,Pass
5cb85aedf5f64c97aefb63b11b049863,Lack of resources,Yes,29,Yes,3,1,Yes,Yes,No,Yes,Yes,321,3,Fail
75b17a55d4264982a43e4288a2b5b498,Lack of preparation,No,31,No,5,4,No,Yes,No,No,No,278,9,Pass
2d174fc96f7c45eaa72a6d8eb5122df8,Personal issues,No,11,No,4,3,Yes,No,Yes,No,No,150,4,Fail
97ac6aa8bb2448a3936357b66f81cf4f,Lack of resources,No,15,Yes,2,2,No,No,Yes,Yes,Yes,399,8,Pass
7cd0129d2e8d4e87933420e6d9d80b8d,Health challenges,No,36,Yes,4,1,No,No,No,Yes,No,190,7,Fail
989d9d4ae15c46668797b2c957207246,Lack of preparation,Yes,36,Yes,5,4,Yes,No,No,No,Yes,335,2,Fail
30e912f2f2b44abf8441aefd0299436a,Confidence issues,No,30,No,3,1,No,No,No,Yes,No,130,5,Fail
680bac63b8564035bdc9829015eabb27,Health challenges,Yes,13,Yes,1,3,Yes,Yes,Yes,Yes,No,253,8,Pass
3d85de89c21744298e2007247d137018,Difficulty understanding topics,Yes,33,No,4,4,No,Yes,Yes,Yes,Yes,267,6,Pass
6786d50638ba4abc8b5305e517d2582e,Confidence issues,No,28,Yes,1,2,No,Yes,No,No,No,224,7,Pass
5a10412954ae4d1b8ce6424dbef59fe6,Health challenges,Yes,0,Yes,1,3,Yes,Yes,No,No,No,293,3,Fail
5c62b3a23a3c463e8bd6cee631b1b099,Lack of resources,Yes,5,Yes,3,1,Yes,Yes,Yes,Yes,No,237,4,Fail
0ba6eab94639447ba067bdac88bd13d1,Difficulty understanding topics,No,10,Yes,5,2,No,No,No,Yes,Yes,327,6,Pass
4ac9778d8da84ee48df56ac6f96b648a,Lack of preparation,No,10,No,3,1,No,No,No,No,Yes,148,3,Fail
1a432f0a7daa49f080b6fce2de53790a,Confidence issues,No,26,Yes,3,2,Yes,Yes,No,Yes,Yes,107,2,Fail
5738811d70c2403fba8d03aa782a65e0,Personal issues,Yes,5,No,1,5,Yes,No,No,No,No,377,6,Pass
40a26c600d274659b72ada9b2f32751e,Lack of resources,No,20,Yes,3,4,No,No,No,Yes,Yes,208,6,Pass
c693da1139c641ca9e50aa42ca6dfda1,Personal issues,Yes,13,No,4,3,Yes,Yes,Yes,Yes,No,182,3,Fail
e893be3d73544a6fa160745985c7504b,Personal issues,No,10,No,2,1,No,Yes,Yes,Yes,Yes,281,5,Pass
43b9da13ec854f37bbc1a987aff8754d,Personal issues,Yes,39,Yes,1,2,Yes,No,Yes,No,Yes,131,4,Fail
32a447b2ef04457d8dccc33aa9434aa0,Lack of preparation,No,22,No,1,5,No,No,No,Yes,Yes,396,6,Pass
398d1ca68b6840b59d61fac36cd5e859,Difficulty understanding topics,No,11,Yes,5,2,Yes,No,No,No,No,211,4,Fail
44007d5ae88d4719a6242b40a5cb63a2,Health challenges,No,34,No,2,5,No,Yes,Yes,Yes,No,187,3,Fail
ebd3461691b74d8e93016989bfbbb17f,Confidence issues,Yes,40,No,3,2,No,No,Yes,Yes,Yes,226,6,Pass
bc0a6a5d6e994e3ea3b137fc0a3450fc,Confidence issues,No,7,Yes,4,2,Yes,No,No,Yes,No,109,2,Fail
ac9ed156f63f4e41ba9aca5e176132ed,Confidence issues,No,36,Yes,3,3,No,No,No,Yes,No,301,6,Pass
c3c75611ffe34a49854f92fff366bad4,Personal issues,Yes,18,No,4,5,No,Yes,No,Yes,Yes,144,2,Fail
ff37d19c2e76428b873544f9ea83bf00,Confidence issues,Yes,31,No,1,3,No,No,Yes,No,Yes,285,7,Pass
785299f4175b498db81401027de1bdfe,Lack of resources,Yes,6,No,2,5,No,No,No,Yes,No,386,7,Pass
668409e3f1f8443ea99f131849c8a43f,Health challenges,No,17,Yes,5,4,Yes,Yes,Yes,No,Yes,279,9,Pass
c5c5b37af85e46a19dad09b252c21221,Personal issues,No,8,No,3,5,Yes,Yes,No,Yes,Yes,260,8,Pass
de8ede0ba85c4e4a804b6fabfcf56188,Difficulty understanding topics,No,19,Yes,1,3,No,Yes,Yes,Yes,No,206,9,Pass
9f64eeed5c9d427d84b871bb300568d2,Lack of preparation,Yes,25,No,3,5,No,No,No,No,No,197,8,Fail
445dcc38341c44948d366dfcc28ebd70,Difficulty understanding topics,Yes,39,No,3,4,No,No,Yes,No,Yes,115,9,Fail
49bc473fed7b4656a18a15368c99a894,Lack of preparation,Yes,13,No,3,5,Yes,No,Yes,Yes,No,116,5,Fail
7c16128db2c04394a17f29e170286046,Difficulty understanding topics,Yes,8,No,5,3,Yes,Yes,No,No,No,376,6,Pass
a14923c2f920464c8763fcd01f15c7b6,Lack of resources,Yes,34,No,1,1,No,No,No,No,Yes,152,4,Fail
1d0bc9bde9b545cf97665cdafe049059,Lack of preparation,Yes,40,Yes,5,4,No,Yes,Yes,Yes,No,159,6,Fail
a5d04d531e1242e3b27292b6762172ed,Personal issues,Yes,31,No,2,1,Yes,No,Yes,Yes,Yes,186,9,Fail
74eff5453e654603b8e3654bfaf14ff0,Health challenges,Yes,39,Yes,5,1,No,Yes,No,No,Yes,102,7,Fail
3d225c30b28f41debb140bc3304b8590,Health challenges,Yes,32,No,2,4,Yes,No,Yes,Yes,Yes,382,4,Fail
db23aa8c3bca4f85a20a60ac9261549d,Lack of preparation,Yes,27,Yes,5,3,No,Yes,No,No,No,171,6,Fail
517400f80b2c482aa9288e92c68a152f,Health challenges,Yes,20,No,5,5,No,Yes,Yes,Yes,No,292,7,Pass
e9d68f23b4894070b914f8a8bea4ff31,Personal issues,No,12,Yes,3,4,Yes,Yes,No,Yes,No,369,9,Pass
a6eab79ed21c42f88ada4f80a9e782d4,Confidence issues,No,12,No,4,2,No,Yes,Yes,Yes,Yes,373,6,Pass
f6febc0e7ecd4bafa6f05fcffb16e5db,Lack of resources,Yes,6,No,3,5,No,Yes,Yes,Yes,No,242,5,Pass
19b17e80dea44e1794fd9ad39716108e,Lack of resources,No,7,Yes,4,1,Yes,No,No,Yes,Yes,366,7,Pass
541cdfcdda0d4a5f948f8b74a65bb1f2,Lack of resources,No,29,No,2,4,No,No,No,No,Yes,172,7,Fail
889b78d5dbfd497eaca2b148da330aa1,Confidence issues,Yes,1,Yes,3,3,Yes,Yes,No,Yes,No,377,6,Pass
9e11d2cd09304ef68a80068ddf547e50,Lack of preparation,Yes,34,Yes,4,5,No,No,No,Yes,Yes,165,6,Fail
af34cf65a19344b2bc19e71d118405ad,Health challenges,No,18,Yes,1,2,Yes,Yes,Yes,Yes,Yes,395,5,Pass
0769165fe7464cb98ca9cf07b1aa0f6a,Confidence issues,No,24,No,2,1,No,Yes,Yes,Yes,Yes,273,2,Fail
0e5dd462cbd04ef2930a37df0bc61066,Health challenges,No,31,Yes,2,3,Yes,No,Yes,No,No,393,2,Fail
697c392387fa441abe83b91f25440fe0,Lack of resources,Yes,36,No,1,4,No,No,No,No,Yes,146,3,Fail
2e183554cae24e66ae8a781390e0a95b,Health challenges,Yes,26,No,1,4,No,Yes,Yes,Yes,No,190,7,Fail
9549c931e9af499dbf671eec3da70577,Confidence issues,Yes,23,Yes,2,5,No,Yes,Yes,No,No,166,6,Fail
aab612c9415d474ab5a669814104a8b5,Lack of resources,No,7,Yes,2,3,Yes,No,No,Yes,Yes,393,7,Pass
8beddb12ad77482f89a23a89e6b5a92c,Difficulty understanding topics,No,34,Yes,1,4,No,No,No,Yes,Yes,169,6,Fail
b0b862ef6c9f42b9b6478986a3917c99,Health challenges,No,13,No,4,4,No,Yes,Yes,Yes,No,200,6,Pass
da743152627b41a1bfd6f23232ffe294,Health challenges,No,39,Yes,5,1,No,Yes,Yes,No,No,120,7,Fail
4bbe4aff93264ffd9be4bf5192698698,Lack of preparation,Yes,39,Yes,1,2,No,No,Yes,No,Yes,356,9,Pass
059dd55d4b944e30b303f438fe2110d0,Difficulty understanding topics,No,23,No,2,4,No,No,No,No,No,178,8,Fail
6553867da8814fd3947d577bfa5a91ca,Personal issues,Yes,16,No,2,4,No,No,Yes,No,Yes,257,4,Fail
dd750e9890e0495f8212b554464458b4,Health challenges,Yes,27,Yes,5,3,Yes,Yes,Yes,No,Yes,364,9,Pass
3ae909fecc8248da8696f5e64944051b,Confidence issues,No,19,Yes,4,3,No,No,No,No,No,255,4,Fail
2303f6c6d69d42f1ae4c84ffa8c01f05,Confidence issues,No,22,No,1,1,Yes,Yes,Yes,Yes,No,239,4,Fail
ad238d36dc324c97b9c1e262f76c8ede,Health challenges,Yes,1,No,5,5,Yes,Yes,No,Yes,Yes,377,3,Fail
65bcc272fadd4ea3aca5e2fdb966442a,Lack of resources,No,34,No,2,2,Yes,No,No,No,No,142,2,Fail
1fa382e8895c4d9983b38eb403902c5d,Confidence issues,Yes,4,No,1,2,Yes,No,Yes,No,No,390,5,Pass
bfbf397bac3e4b0d9e5ba13d746cdb77,Health challenges,No,15,No,4,3,No,No,Yes,Yes,Yes,234,2,Fail
a2a9d4d8102e4de5a5cc8bf738ab854c,Health challenges,No,30,Yes,1,2,Yes,Yes,Yes,Yes,Yes,257,8,Pass
b379cb1ee8cd40ccb6da3ca0d2e82f38,Health challenges,Yes,15,No,4,1,Yes,No,No,Yes,No,292,6,Pass
899ca782e3234d1abc1bdacc18e19331,Confidence issues,No,24,No,1,5,Yes,No,No,No,Yes,156,6,Fail
5efa9c5b74214f46a37e4b0122bae10e,Health challenges,Yes,36,Yes,4,1,Yes,No,Yes,Yes,Yes,374,2,Fail
b0b63bcf08604833879d0cdaf396ea37,Personal issues,No,29,No,4,2,No,No,Yes,No,No,321,9,Pass
0cf2b69b05774ea9b899924698de8ebb,Health challenges,Yes,16,Yes,4,1,No,No,No,Yes,Yes,248,9,Pass
fd235def3e5a47e39560db22c96b5edb,Lack of preparation,Yes,27,Yes,5,1,No,No,Yes,Yes,Yes,253,4,Fail
8de08fc2c3e14a85946ef10411906f50,Health challenges,Yes,8,Yes,2,5,No,No,Yes,Yes,Yes,208,7,Pass
c63d04ee541c4a86bba5cd2fdea45c19,Lack of resources,Yes,21,Yes,3,1,Yes,Yes,Yes,Yes,Yes,320,6,Pass
989240ace68943a989e48e8c25c61c45,Health challenges,Yes,31,No,2,2,Yes,No,Yes,Yes,No,240,2,Fail
040a3aae52e24fd996bf10ab3ce915e7,Difficulty understanding topics,No,34,No,3,3,Yes,Yes,No,Yes,No,179,6,Fail
97fa7f04836340079cae9610c72c1fe3,Confidence issues,Yes,16,No,4,1,Yes,No,Yes,No,Yes,314,2,Fail
98eeac2bfe9f4caaa182f347533f5a72,Lack of preparation,Yes,24,Yes,4,5,Yes,No,No,Yes,Yes,134,7,Fail
8d244e3ec4da4ddba0b15abaa6a27967,Health challenges,No,12,Yes,4,5,Yes,Yes,No,Yes,No,322,4,Fail
66132e697418410993d1bf0f56c438e4,Health challenges,Yes,29,No,1,1,Yes,Yes,Yes,No,No,300,7,Pass
50032b3518574bafbac7e2b96a7e4c36,Health challenges,No,21,No,5,5,Yes,Yes,No,No,Yes,335,8,Pass
afd380c42713482cb41ea3ac5fd23109,Lack of resources,No,26,No,2,3,No,Yes,No,No,No,362,5,Pass
6e8f75a117dd4d8195da705cd4ef00aa,Personal issues,Yes,17,No,2,1,No,No,Yes,Yes,Yes,278,9,Pass
f0ede303aa53419c9fa4bb9f5a856750,Lack of preparation,No,10,No,2,2,Yes,Yes,No,No,Yes,110,6,Fail
49a214aef7e848e58d2b91efb8976ec5,Personal issues,No,40,Yes,4,2,Yes,No,Yes,No,No,127,8,Fail
d8e7012f39684c81bb70c3b8a81fdec3,Difficulty understanding topics,No,40,No,3,5,No,Yes,Yes,Yes,No,129,7,Fail
6dda4f8dcea64f4cb9e58ff092f837d4,Health challenges,No,3,No,2,3,Yes,Yes,Yes,Yes,Yes,166,8,Fail
c4767556f97b42dd8f9b72aed85c16bd,Confidence issues,Yes,25,No,4,3,Yes,No,Yes,Yes,No,271,7,Pass
45f50c522e2f4f77876979d644777442,Confidence issues,No,25,No,2,4,No,Yes,No,No,Yes,339,7,Pass
bdb025ff245145a491d059b26699cd99,Confidence issues,Yes,38,No,3,2,Yes,No,Yes,No,No,175,9,Fail
604e46cb371242d187cdb6a1bf012e32,Confidence issues,Yes,22,No,3,4,No,No,Yes,No,No,318,9,Pass
98a21f1c914d4faeb10013a7c6deb2f0,Difficulty understanding topics,No,13,Yes,3,4,No,Yes,No,Yes,Yes,337,6,Pass
27d415b60d7745a0a222b6a615bfbe97,Personal issues,Yes,36,Yes,5,4,No,Yes,No,No,No,223,3,Fail
0cbd3c039e2a44ac8122b5b3284c03d2,Lack of preparation,No,11,No,3,4,No,Yes,Yes,Yes,No,256,7,Pass
372f871a45ee432daa07f2137129cec7,Difficulty understanding topics,No,34,No,2,4,Yes,Yes,No,Yes,Yes,330,7,Pass
ad9fb00d4882473c9c6345ab6e0ed1e8,Difficulty understanding topics,Yes,35,No,1,2,No,Yes,No,Yes,Yes,283,5,Pass
86e527537c9346cc97d7a560adb14670,Lack of preparation,Yes,37,Yes,2,4,Yes,Yes,No,Yes,Yes,261,5,Pass
3873e57f0ba048e88ef492c1aac93316,Lack of resources,Yes,1,No,5,4,No,No,Yes,No,Yes,222,2,Fail
f200c2614d2941abb45512f701f7c7ec,Personal issues,Yes,0,Yes,2,3,No,No,Yes,Yes,No,308,3,Fail
75b2745504cc4edeafac16730ad45230,Lack of resources,Yes,35,No,4,4,Yes,Yes,Yes,Yes,No,391,3,Fail
6788420992ca425aade593329364f3d0,Lack of preparation,Yes,7,Yes,2,3,Yes,No,Yes,No,No,101,4,Fail
f758dce205564aeaa7b032831d7c0098,Personal issues,No,33,Yes,2,5,No,No,Yes,Yes,Yes,154,8,Fail
6fcc57dd168f4e129ca260c9eb7607c9,Confidence issues,No,8,No,5,2,No,Yes,No,Yes,Yes,318,2,Fail
6f887f283e494d099b19d8b8d8302081,Difficulty understanding topics,Yes,27,No,5,5,Yes,Yes,No,Yes,No,338,3,Fail
1422373f862248d1a683e10796c044d0,Lack of resources,No,29,No,5,1,Yes,No,Yes,No,Yes,275,9,Pass
a21b030782af485c938d994c2b0abedd,Lack of preparation,Yes,40,No,1,5,No,Yes,No,Yes,Yes,207,3,Fail
31a3ac4d828c47e787d5b7be1d30d990,Confidence issues,Yes,22,Yes,3,2,Yes,Yes,No,No,No,181,4,Fail
a53bc024d1a64d87b54e2019ba35844e,Lack of resources,No,15,Yes,2,2,No,No,No,Yes,Yes,116,4,Fail
c257cf73c29d482ba722796e9a36d1ec,Lack of preparation,Yes,22,Yes,4,1,No,Yes,Yes,Yes,No,217,9,Pass
76c5a0dc7e7e4419a0c14035c5d95f51,Health challenges,No,32,Yes,2,2,Yes,Yes,Yes,Yes,No,190,7,Fail
e1cde87fec954f87ae5ec36572eb7474,Lack of preparation,No,18,No,5,1,Yes,Yes,Yes,Yes,No,264,6,Pass
fc8d5b93a2a2491fa49b1cd99082889b,Difficulty understanding topics,No,34,Yes,4,4,No,Yes,Yes,Yes,No,164,3,Fail
97674900465143678bdc43184d85a3d2,Personal issues,Yes,37,Yes,4,3,No,No,Yes,No,No,297,9,Pass
12fe28bf81e044899a18e2a30e614bcd,Health challenges,No,3,Yes,4,4,No,Yes,No,No,No,300,3,Fail
09a0a0f673b04091b634c1694f76e388,Lack of preparation,Yes,40,Yes,4,3,Yes,Yes,Yes,No,Yes,102,5,Fail
497de16dd4ea420a9e6596540e9058b6,Personal issues,No,25,No,1,1,No,Yes,Yes,Yes,Yes,196,3,Fail
fa34d2e8dd3f4d7ea508dc9513a4a492,Difficulty understanding topics,No,8,No,4,5,Yes,No,No,No,No,235,7,Pass
98159d6c9d714084971dabf9daf481a7,Confidence issues,No,12,No,2,5,No,Yes,Yes,Yes,No,186,5,Fail
e8b77f7b73214f6b8a8076ece5582e16,Personal issues,Yes,40,No,4,2,Yes,Yes,Yes,No,No,295,5,Pass
80599b9379c242e49ae1a991524f93ff,Confidence issues,No,28,No,1,2,No,Yes,No,Yes,No,162,5,Fail
15969802b6dd4257bb7d9f1c57eb89b1,Confidence issues,Yes,0,No,5,2,No,No,Yes,Yes,No,143,8,Fail
9c1c351785d240a686295b5d707df251,Difficulty understanding topics,No,22,Yes,2,3,No,No,No,Yes,Yes,378,7,Pass
4f6b58c8598d4aecaaafe5432434a678,Health challenges,No,23,Yes,3,5,Yes,No,Yes,Yes,Yes,147,5,Fail
b576255e98544f22a102f9c964575bc4,Difficulty understanding topics,No,23,No,2,1,Yes,Yes,No,No,Yes,267,9,Pass
8f1584494f40422f95b02530f020e992,Difficulty understanding topics,No,16,Yes,4,5,No,Yes,Yes,Yes,No,307,5,Pass
4f11d8dc5cd3436984aac1b75ca0c428,Lack of preparation,Yes,31,Yes,3,5,No,No,Yes,No,No,388,9,Pass
c9c23e69d82c45658bb907ec13c11754,Difficulty understanding topics,No,36,No,4,1,Yes,No,Yes,Yes,No,351,6,Pass
e05b46c556364094a97431db09a9d1c1,Health challenges,Yes,15,No,4,5,No,No,Yes,No,No,333,7,Pass
9feefdffc5664a81b15e54f6d4d30795,Health challenges,No,28,No,4,2,No,Yes,No,No,Yes,211,9,Pass
5d42b9e9692e47b68b2f6d5c700b5d5f,Lack of resources,Yes,24,No,4,4,Yes,Yes,No,No,No,388,7,Pass
f836f5713cce476cb836c448ad261ec5,Health challenges,No,35,Yes,2,1,No,Yes,Yes,No,No,210,4,Fail
c09cb50648f1496d9c4ffb4671b701aa,Confidence issues,Yes,10,No,1,4,Yes,Yes,Yes,No,Yes,345,7,Pass
e76adca97811480288cc7cfecf01f944,Personal issues,Yes,19,No,3,5,No,No,Yes,Yes,No,385,3,Fail
6b2d5b0987074ad480be7e3561c2645a,Confidence issues,Yes,20,Yes,5,1,Yes,Yes,Yes,No,No,395,9,Pass
8412a335d88c456db61e5fdb1a435206,Health challenges,Yes,7,No,1,1,Yes,Yes,Yes,Yes,Yes,234,6,Pass
d4bf7a4b25b8442f836b15c7e7c225da,Lack of preparation,No,13,No,4,5,No,No,Yes,Yes,No,302,8,Pass
e916da57f24843ab977a8a5f6ffe33b3,Difficulty understanding topics,Yes,1,Yes,4,3,Yes,No,No,Yes,No,148,9,Fail
5fbbf0b1808349c8a57e01c90da23e5c,Difficulty understanding topics,Yes,23,Yes,5,2,Yes,No,No,No,Yes,281,2,Fail
25637cc3ca974bf595d596afa663d2cd,Personal issues,No,12,No,2,4,No,No,No,No,No,329,6,Pass
eada79a349704d9a89ce3cfb2339ba19,Health challenges,No,33,No,1,3,No,Yes,No,No,Yes,271,4,Fail
3d0a5f0c0c394ec79f3174054d183eba,Confidence issues,No,2,Yes,2,3,No,No,No,No,No,317,5,Pass
93364f7e83ef49f3a1c7cc8a04351b64,Personal issues,No,22,Yes,3,4,Yes,Yes,Yes,No,Yes,348,9,Pass
