Student_ID,Mathematics,English Language,Civic Education,Economics,CRS/Islam,Government,Commerce,Literature,History,Accounting,Physics,Chemistry,Biology,Geography,Computer Science
82010c62f5f54b228e8fa8e0284d82e5,42,47,48,54,40,43.0,5.0,89.0,93.0,93.0,,,,,
118a9d292f92499699f195d014822f53,49,85,75,86,77,,,,,,61.0,45.0,84.0,52.0,60.0
dca02eecacda4acc9165e21098543881,100,70,78,47,27,,,,,,62.0,77.0,19.0,1.0,26.0
f10c718b1eb0438aa75dd5af3c365296,4,69,85,61,5,12.0,62.0,59.0,21.0,44.0,,,,,
94340a033f07481491d63f78e3e9de99,11,3,48,85,19,,,,,,32.0,60.0,76.0,11.0,58.0
14fcdd549e8f49658a2c827e98326856,10,72,29,33,3,0.0,39.0,66.0,93.0,72.0,,,,,
90b2b633956b4c0ca8499b926b5252e3,88,40,77,67,53,71.0,20.0,60.0,5.0,71.0,,,,,
42c18a62ef4848d590fd9d3f85d51695,24,84,10,45,12,82.0,65.0,39.0,43.0,88.0,,,,,
506e5a9ab758488dab73295b344a54b8,74,1,87,69,13,14.0,82.0,60.0,2.0,60.0,,,,,
21813d25655248a683ff50113d1a85dd,83,35,12,89,61,,,,,,66.0,0.0,43.0,0.0,31.0
750cab754ccc4bc2a53f8a28abf3e3fc,89,60,81,81,87,17.0,8.0,73.0,65.0,41.0,,,,,
ef8c485bc07a40f2add4253b50f0fd0a,62,11,40,63,88,55.0,8.0,54.0,96.0,82.0,,,,,
9f044aed7552432782627f7312922f83,5,65,71,57,77,99.0,27.0,83.0,94.0,36.0,,,,,
19985f15ff004d4d902059e4ff9ab5c2,27,48,75,92,78,,,,,,31.0,65.0,6.0,89.0,36.0
8181a8cc369147eb89a2688b12c136e0,37,61,52,24,81,,,,,,46.0,62.0,33.0,17.0,60.0
5958a499eeea463ea1e8ac6843e42caf,79,85,68,15,93,,,,,,41.0,5.0,81.0,75.0,64.0
3e896c64e1174ac3919c4ea3e1805081,80,14,86,16,4,1.0,45.0,31.0,78.0,4.0,,,,,
702cdd20286248b888f4ef125e9953d2,65,97,30,88,77,,,,,,32.0,15.0,37.0,29.0,75.0
4d71c366b41b41438b10550cd5704f32,52,78,22,25,24,23.0,59.0,48.0,8.0,37.0,,,,,
ce9e1a11fcbb4e59bbddcf7c9c96e9ec,26,26,66,83,56,,,,,,73.0,67.0,78.0,84.0,58.0
aaf91531020041f08768a84fa76afde6,86,23,54,43,18,,,,,,51.0,62.0,33.0,69.0,5.0
ee87905e4ca445ea8dfa6a56d12dbc9a,28,66,97,4,36,61.0,39.0,78.0,34.0,4.0,,,,,
e0ccedc5f05d476e9a84a51aa9d3d7c7,7,68,51,74,41,47.0,38.0,19.0,17.0,66.0,,,,,
e3c436571d8c4bac83b409ef2260e70f,82,77,75,81,49,69.0,61.0,44.0,31.0,62.0,,,,,
27cb6f2a8da04097be0f051b1b66b5a9,9,66,7,28,48,,,,,,35.0,35.0,53.0,23.0,72.0
35ebd32d9ad640ab88212ddb45b89cd9,33,77,66,48,90,,,,,,53.0,41.0,43.0,36.0,78.0
afffcfd2341e440b97c700aab7b56ea7,50,19,73,52,40,,,,,,35.0,2.0,9.0,28.0,19.0
81627cf1439442e69a587e8aa25d6b29,22,59,51,40,81,24.0,43.0,70.0,99.0,33.0,,,,,
e87d1c78e7c441c780497b717d106c60,22,9,40,65,4,,,,,,95.0,61.0,95.0,26.0,93.0
a260772317a04f498d01280fd89a40c0,1,46,2,93,18,17.0,5.0,45.0,96.0,70.0,,,,,
0b49452d46d443f39450281c6c6f7633,99,85,57,1,25,,,,,,7.0,92.0,75.0,24.0,41.0
217d65a0c56841cd9563f61600e85ece,84,29,51,22,82,99.0,89.0,89.0,23.0,85.0,,,,,
295d6fbf430f401dbad409e2a319dcb4,29,9,32,26,37,40.0,12.0,17.0,89.0,11.0,,,,,
b4a69f3c8d3a4d99b11c21c9bdc14f1f,23,32,37,94,83,,,,,,42.0,80.0,9.0,7.0,99.0
1ca3c448027946a68f9797b06d7ce3c9,0,73,76,34,94,64.0,62.0,44.0,39.0,10.0,,,,,
b0e6a969e21342b0b1eedba313432e61,66,100,5,10,5,72.0,26.0,59.0,63.0,61.0,,,,,
093923de8bab4e3ba6286bfbe767dcea,12,87,9,98,28,43.0,87.0,42.0,94.0,54.0,,,,,
8d7248e2951f48d09e84f058d5a804eb,97,47,60,79,18,,,,,,94.0,70.0,38.0,84.0,0.0
0ab54bde20a04502ae06809725e97977,93,26,84,44,88,6.0,35.0,4.0,2.0,29.0,,,,,
eededb07e62346899d59cd2a4eea04e7,25,69,67,27,7,89.0,12.0,83.0,20.0,1.0,,,,,
0a368ce7dc574131b8e1daa7cbceabde,64,20,88,63,71,17.0,29.0,27.0,44.0,13.0,,,,,
ae9bec3635c7436c9b9962c6e61fecc0,13,9,80,66,59,67.0,69.0,72.0,32.0,0.0,,,,,
5a8aaeca1a504ec3aabc25fa3fe12e47,10,82,58,37,20,,,,,,25.0,35.0,13.0,37.0,49.0
dfed2c43e25646dc8f5486b7c7b5b2bc,75,66,72,89,38,89.0,82.0,13.0,26.0,1.0,,,,,
bfddc3d99ee34c2ab94d62046808593f,3,86,85,53,20,,,,,,69.0,71.0,56.0,26.0,43.0
3c9ad14cee0c4eb5acfedb992790cebd,24,77,78,90,65,4.0,34.0,82.0,27.0,1.0,,,,,
ccc56569f9e84369a999b735dd56cc94,41,83,85,0,33,30.0,75.0,2.0,9.0,97.0,,,,,
698c206fe1a44e10ad534dd0cf8ebc5a,95,27,11,9,38,54.0,81.0,12.0,51.0,83.0,,,,,
ecab3301bc8f4d29adea94930658663a,56,31,63,28,50,16.0,30.0,31.0,70.0,7.0,,,,,
696608aaee494329884a7b28550a1b46,19,26,56,73,55,55.0,16.0,9.0,45.0,31.0,,,,,
bc2cbb0ddd334cc7ab7f089acd5f4822,69,5,7,75,5,93.0,81.0,5.0,1.0,20.0,,,,,
28c13091444d410bbf87e362cf8d446a,64,12,29,48,68,65.0,31.0,43.0,40.0,23.0,,,,,
61ee411a1bac47a7b386f7a4c991603f,72,85,77,58,96,,,,,,91.0,89.0,0.0,1.0,78.0
787f2425dbcc447789e9db0adf465290,99,79,39,44,99,50.0,88.0,25.0,48.0,8.0,,,,,
eb1fa9f2d10b41d0b317347038f16a81,20,93,56,92,65,,,,,,79.0,47.0,89.0,14.0,4.0
d20eac174e204d1a998336e375d66ed4,79,23,91,93,33,,,,,,89.0,57.0,16.0,64.0,14.0
391184973a4342ba9f0f06cbcb9bc326,4,99,33,85,26,17.0,32.0,65.0,69.0,76.0,,,,,
6601ddd031704437a8f7ef5a060edf5b,98,96,89,37,38,22.0,66.0,24.0,36.0,66.0,,,,,
11c58ef0dd464c09875287aa5408f9ac,55,49,20,47,70,,,,,,6.0,23.0,24.0,96.0,56.0
59e4b67147744c5885f8bc16f7860b50,14,6,67,72,59,,,,,,100.0,2.0,19.0,31.0,63.0
adf4e62d6651429e8268690ba43825b5,53,86,90,7,5,,,,,,2.0,37.0,28.0,58.0,2.0
54c63cd889454f2797fa2d8dfb2ca025,76,68,71,47,76,9.0,34.0,0.0,31.0,8.0,,,,,
e08596db1d8749668710d430f071d879,6,73,88,50,0,99.0,58.0,81.0,74.0,30.0,,,,,
94a1875d2db64edb82deffccf86c2ca2,27,91,86,100,36,74.0,13.0,16.0,11.0,91.0,,,,,
09cb394243f54a85bbc9f87af668a617,66,16,24,35,27,5.0,54.0,69.0,52.0,88.0,,,,,
587ef3446f3f420c98b8e4cc1bc044fc,60,58,32,9,97,67.0,98.0,53.0,79.0,70.0,,,,,
6fb78271504d481f89535b63ba81edd9,18,12,8,94,92,98.0,21.0,63.0,87.0,50.0,,,,,
1d9af65982ec4f2dbbf6e16f9b3080d5,65,97,4,2,68,,,,,,83.0,48.0,73.0,72.0,36.0
30a900ad939b462da645f129629c2ae3,64,36,95,17,93,,,,,,83.0,79.0,11.0,100.0,78.0
6fa17735b57243d08b5cea6a41357e8c,83,74,35,9,91,,,,,,91.0,91.0,2.0,32.0,78.0
ce777f00ecf24e7685197ff4006ed6e3,28,88,74,91,72,61.0,65.0,68.0,12.0,14.0,,,,,
f0b5156bb82c4074afd5dea589d7fd6c,5,5,43,96,13,83.0,36.0,82.0,19.0,75.0,,,,,
3270e4faabae4f43bcae8081bdf070aa,39,24,87,73,91,,,,,,39.0,82.0,88.0,40.0,11.0
f2e9702d11e94daaae6981a35d3d9e56,4,10,100,23,82,76.0,43.0,64.0,22.0,37.0,,,,,
9f871ce754874d4fabb7a385aa0b7b14,87,58,38,79,33,,,,,,86.0,1.0,57.0,21.0,9.0
1fe771d6d9174793a9d3c2e6505cc686,55,98,43,34,9,29.0,76.0,84.0,84.0,38.0,,,,,
81d2c7de4ce14b90a6697833b841d0a0,79,79,50,54,96,64.0,97.0,98.0,44.0,55.0,,,,,
5380b904688c4015aab97e494f2d4796,60,81,97,99,10,64.0,91.0,83.0,39.0,47.0,,,,,
8dedf9fb4bb04f20b27c40266703b636,35,100,6,40,74,79.0,42.0,35.0,37.0,75.0,,,,,
aa38d0a16ba24efeb11c6eb62095eef6,7,98,99,97,21,,,,,,2.0,62.0,72.0,93.0,39.0
bf85bf0ead64456ca10faa3ff0bbac67,97,6,64,65,74,24.0,20.0,23.0,65.0,61.0,,,,,
91b0e1d99d9242afac8d0e44e71e43a6,40,97,32,54,97,,,,,,16.0,41.0,25.0,1.0,51.0
d56f03508c454ce2a7f48ad54d0b0d1a,97,62,3,64,57,62.0,11.0,83.0,59.0,39.0,,,,,
35ce884149734d6c8dcabfb7001a9a8b,80,60,39,3,15,40.0,75.0,3.0,12.0,68.0,,,,,
9b4e2c24947941e689277d9b6e0d2648,79,6,70,4,17,72.0,13.0,85.0,40.0,16.0,,,,,
7118e36477094749927eecfaa79ac9aa,16,91,97,5,14,1.0,41.0,81.0,19.0,96.0,,,,,
82dc4c8e36b5429aacf5e81e71316269,35,26,82,56,16,49.0,16.0,64.0,32.0,6.0,,,,,
f5b78cc7e6b349448b323e357922bac2,2,18,45,92,80,,,,,,100.0,58.0,59.0,52.0,4.0
a8aa71582b704525bc67f831cbc84759,64,1,65,68,27,,,,,,63.0,12.0,40.0,46.0,27.0
a9f2533683f449a988a639d015b52908,14,77,1,19,97,,,,,,21.0,29.0,17.0,71.0,53.0
17e8392a55ce45db9e87e04ca2086977,3,25,65,76,35,,,,,,32.0,17.0,84.0,65.0,38.0
3c20592fc04a46c4b3b63fe1d1843324,32,60,9,4,0,41.0,49.0,86.0,90.0,75.0,,,,,
ce7ae7f639824cff8f77a665ac3c5640,14,66,99,73,99,,,,,,18.0,90.0,28.0,12.0,29.0
0bd4a99006404e0fa5b8fd4b32fa2de8,97,8,66,32,11,,,,,,14.0,60.0,8.0,49.0,37.0
9c7c737779a24903bbe33b243eae0032,77,33,7,93,84,,,,,,76.0,76.0,24.0,20.0,51.0
7496276412a44ef084bbb7a9d98868dd,14,72,17,14,14,80.0,77.0,49.0,25.0,0.0,,,,,
935f2b0aa1384ddca2d9de5d6a18ce4c,64,51,75,62,24,66.0,36.0,64.0,83.0,30.0,,,,,
624c69b6b24445a7b7e5848131c681ec,19,83,57,23,26,25.0,64.0,98.0,9.0,89.0,,,,,
25c73c443e7543b4a64fa6637e8f8095,91,52,82,61,65,78.0,73.0,73.0,16.0,69.0,,,,,
e4855aa1016b4287b00805cca7f36ae9,88,20,70,29,48,24.0,78.0,67.0,32.0,33.0,,,,,
e2add909c5214f2d9c45d539c03f3538,64,57,7,5,69,41.0,51.0,6.0,20.0,38.0,,,,,
3805f9076cd6419387468f591b494e15,28,48,93,82,7,52.0,13.0,28.0,43.0,11.0,,,,,
b227462cf53d43308dda24ba2d06e8cf,22,91,21,61,26,,,,,,49.0,69.0,9.0,50.0,23.0
8eb225790cdb4ca4b6ecbdd68498e113,40,61,49,16,6,,,,,,78.0,14.0,48.0,62.0,34.0
1f115b76d92c4227aadf50853fcb7546,50,25,2,12,62,,,,,,86.0,47.0,82.0,94.0,71.0
76f2dbfecd29436fa22282e174daaebf,89,77,29,84,37,,,,,,63.0,55.0,24.0,30.0,15.0
8f15ba58fce6450487f8424daae65fc1,21,7,96,42,77,,,,,,68.0,54.0,55.0,71.0,46.0
c1581092f3354ba3913a7052986f9025,27,11,67,71,54,,,,,,21.0,11.0,63.0,39.0,4.0
d0a444329cd64852b14c7df4e4347d51,15,50,27,59,52,,,,,,16.0,61.0,14.0,43.0,4.0
6d3ee1dc81394443a45b712eb8225688,16,11,34,27,80,,,,,,26.0,11.0,19.0,100.0,75.0
722764e68c41461ba827a1b9d4a02e53,56,59,73,69,15,32.0,95.0,0.0,50.0,82.0,,,,,
dc8aee30be6043f7a8be9288e5af6e39,65,32,34,72,21,31.0,82.0,85.0,53.0,61.0,,,,,
c074718e425a409fb337c59979844388,22,53,80,61,76,,,,,,64.0,61.0,92.0,23.0,76.0
46fde062a33d47af9701410d3f4b1a70,69,79,32,87,66,45.0,12.0,90.0,77.0,96.0,,,,,
7c0e8cd8857347938715b2b9c40c5d91,26,47,56,73,74,66.0,93.0,35.0,14.0,42.0,,,,,
709b7d97464c44afbd3f3799a07295e9,28,74,13,45,78,,,,,,46.0,33.0,3.0,68.0,30.0
3c07c57449254af1b6aae05b13d5f2f7,61,95,49,36,88,13.0,1.0,73.0,7.0,68.0,,,,,
e49d681d51d84c6495fa1ab8458f1f19,79,40,16,77,27,23.0,45.0,67.0,15.0,27.0,,,,,
269cd696236c4b8794a0bccb8a476a87,21,91,32,85,5,55.0,72.0,85.0,97.0,4.0,,,,,
271e3ee2b1a641f1a20e99d33b33f3d8,4,56,57,71,98,,,,,,14.0,54.0,25.0,92.0,76.0
6a34c85410714d51b6c59dacb4d7e28e,54,46,34,70,66,,,,,,71.0,36.0,83.0,12.0,15.0
7746d0ba8ae8405b94b4a48268586eba,45,22,56,83,4,16.0,6.0,62.0,27.0,77.0,,,,,
d5385b0e34f3493c8ff0a55c6a702e2f,68,6,11,90,85,77.0,48.0,37.0,10.0,48.0,,,,,
c51155ffe7a34e81a3b4c08b6b8e869f,0,80,11,2,36,43.0,36.0,43.0,27.0,74.0,,,,,
05000bc6b20d4b6eb2311f1795863a76,44,9,50,88,74,,,,,,76.0,22.0,3.0,72.0,4.0
9360715fc3fe4183a172b725db52ca58,59,5,38,22,71,,,,,,5.0,92.0,83.0,25.0,34.0
f1578470018247c4ba1b58066160a6b4,61,56,8,67,34,,,,,,39.0,61.0,18.0,76.0,28.0
63d62a39c0e34efd8c71e0fe5a0cdd7c,3,44,100,54,32,,,,,,27.0,7.0,7.0,82.0,56.0
d5f25073f41442b1a4429ebbda7b9095,8,96,91,32,73,66.0,50.0,52.0,42.0,16.0,,,,,
bc10fa52bf5d4fdf89c8d2ab6b44fa8d,23,10,27,74,18,,,,,,80.0,62.0,17.0,100.0,51.0
e5d6f6e69a6e42f58cc429038bcf53a1,52,4,80,9,91,,,,,,89.0,95.0,71.0,61.0,11.0
45df16b6382c443fbcfc9b793875394c,65,74,83,43,100,51.0,30.0,81.0,64.0,63.0,,,,,
638c254c076e4bbabc5308bf6f92f25e,3,89,0,45,10,,,,,,73.0,24.0,28.0,76.0,82.0
cc530e36addc4e13ab3b4d37560c95ee,20,93,99,45,41,67.0,1.0,82.0,45.0,85.0,,,,,
d72b61082a404f12b963f37f67814c1f,3,91,58,50,0,94.0,90.0,79.0,37.0,99.0,,,,,
fb10987f20ac4703ab67146a77a6e17c,13,43,95,1,4,6.0,34.0,34.0,16.0,43.0,,,,,
e82c7d7b06e745f988bc539c9f4c3b79,5,74,49,44,48,,,,,,31.0,63.0,73.0,25.0,46.0
a9ba5a27907b4e36978648f864de82e6,38,99,58,74,11,,,,,,39.0,74.0,93.0,0.0,50.0
6db99102a48b4dbe957d94a106f028ff,68,0,68,90,67,,,,,,88.0,17.0,83.0,74.0,46.0
2e85cb2176314e9d9de9f86322bd3388,5,87,53,33,3,,,,,,60.0,47.0,65.0,1.0,59.0
53cd6268610c437382999aa40cdf742b,18,28,41,64,83,,,,,,87.0,74.0,57.0,72.0,3.0
56666f9f53ac4ab9b4672cd9362f5e5c,55,6,0,40,36,,,,,,42.0,63.0,29.0,35.0,63.0
473bd358610e4a64a1301617c2dff335,38,64,89,18,2,58.0,8.0,71.0,65.0,67.0,,,,,
6bebac31d4f84d72b3821cfdc083b73a,32,90,99,34,85,,,,,,4.0,15.0,46.0,20.0,74.0
7866076514f74e8d95bcb8d04094dded,24,93,61,19,9,57.0,100.0,48.0,43.0,70.0,,,,,
0d557b618a174dfebfc00dc804f64d86,47,17,41,39,64,67.0,43.0,5.0,45.0,82.0,,,,,
39669fa759974043b3b1025bfff9f585,29,0,24,96,9,,,,,,70.0,89.0,27.0,0.0,46.0
f510ab53c7fe439f9190f938a66fd7f7,56,44,7,95,48,62.0,19.0,42.0,30.0,33.0,,,,,
07f194f9c1154d6d8a4e5b70a6d964a3,83,61,19,22,70,3.0,74.0,88.0,81.0,82.0,,,,,
d6d7b3b833094d35bf4df561f319c125,64,56,29,22,24,,,,,,69.0,22.0,0.0,67.0,94.0
3d1148022702478b9f0fda8d05379ff6,65,86,99,50,19,,,,,,43.0,77.0,42.0,31.0,1.0
1d48a071ab6147b1b93b4c3220500494,22,69,87,98,2,,,,,,50.0,62.0,33.0,87.0,25.0
770c779837cc463bb2a0345990604f62,58,85,30,30,31,,,,,,10.0,5.0,79.0,57.0,80.0
5e6fea07c4534f1d81992fdfb31022f0,58,12,71,11,81,34.0,72.0,86.0,21.0,96.0,,,,,
f6b751f79b7442459b1bc8952af43ab7,55,1,54,85,64,87.0,6.0,80.0,57.0,66.0,,,,,
c71d5e601d5246abb7e6427cbf780e3f,29,39,29,2,33,,,,,,21.0,31.0,50.0,6.0,46.0
4fa03f26f6f740cca9ec8e49d1bdb8c0,22,27,26,46,33,50.0,96.0,7.0,74.0,35.0,,,,,
edcb8cb606924c639424aed51bac5c15,66,82,84,94,68,82.0,26.0,20.0,58.0,78.0,,,,,
e87466d7ad6641bd93676a024fdc6e1b,40,21,64,84,40,,,,,,19.0,46.0,37.0,53.0,56.0
f1043785658b4523a0141de9f54ad0a2,81,35,60,20,100,9.0,97.0,96.0,40.0,16.0,,,,,
9793b9b413744146b2c5bd89b70b3420,7,33,86,54,85,,,,,,76.0,52.0,85.0,23.0,20.0
3e2b6091a092452a94a057a7b0cc1b3b,34,36,40,61,52,12.0,24.0,91.0,100.0,68.0,,,,,
4d3485c5c5c14eb4b27b3d901a16342c,88,35,58,84,82,,,,,,78.0,90.0,49.0,24.0,31.0
ce3714af99b44350af2b99b4d9acd158,58,80,78,52,43,,,,,,98.0,99.0,24.0,32.0,75.0
90e0f4a0fbdd49338bd58bf61efd76e9,1,2,63,95,14,,,,,,68.0,93.0,78.0,69.0,27.0
8861fe1858e248888a8381bec85aca46,55,21,92,95,71,,,,,,2.0,54.0,95.0,12.0,60.0
11a726095edd4bbfa95976636daa2e68,59,24,98,53,39,,,,,,17.0,96.0,69.0,12.0,41.0
033d2bce575a4d2ca5c5650c8186a576,57,19,84,97,9,39.0,84.0,44.0,96.0,54.0,,,,,
7d7ddbedd284476cab88f83dd97dc9cd,32,68,44,17,95,,,,,,63.0,17.0,67.0,22.0,47.0
5cb85aedf5f64c97aefb63b11b049863,59,55,57,56,65,,,,,,80.0,77.0,4.0,31.0,22.0
75b17a55d4264982a43e4288a2b5b498,71,48,73,68,92,,,,,,23.0,100.0,86.0,60.0,88.0
2d174fc96f7c45eaa72a6d8eb5122df8,23,65,92,25,2,0.0,85.0,58.0,35.0,63.0,,,,,
a6846099f7294951859131d2bbda0242,26,3,42,62,81,2.0,71.0,84.0,25.0,91.0,,,,,
eb6c1016cee644d09dac6e8345241ea6,52,6,62,6,73,,,,,,14.0,65.0,1.0,62.0,5.0
7701f7bb7bc64e1f864ee6e389c5b31a,71,9,4,97,23,27.0,20.0,28.0,9.0,96.0,,,,,
97ac6aa8bb2448a3936357b66f81cf4f,3,77,43,71,47,97.0,20.0,1.0,81.0,89.0,,,,,
3ed8c56cda094fa092828d8044b591f7,85,10,7,93,79,,,,,,37.0,52.0,25.0,71.0,10.0
4767d76c162f4a24af43613cd4aac9a3,55,65,93,33,97,89.0,11.0,68.0,100.0,78.0,,,,,
c01f36bf3e6d458bb367c28de1b294de,72,54,84,26,99,,,,,,55.0,50.0,11.0,3.0,43.0
ab0e664e9c3e42d591e1aa9676f72255,60,73,73,74,2,11.0,71.0,69.0,63.0,85.0,,,,,
7e8adee707584201961e16d16105716b,8,9,11,96,38,94.0,57.0,3.0,91.0,1.0,,,,,
7cd0129d2e8d4e87933420e6d9d80b8d,39,17,55,65,29,49.0,2.0,66.0,48.0,21.0,,,,,
4223623bcc3e4dde9ad5cf06364d7c87,79,78,45,50,27,17.0,63.0,15.0,70.0,36.0,,,,,
989d9d4ae15c46668797b2c957207246,15,11,46,81,15,,,,,,29.0,84.0,100.0,15.0,70.0
8e48522346b94991a14eb70db380c73a,2,15,24,71,59,68.0,48.0,62.0,58.0,42.0,,,,,
30e912f2f2b44abf8441aefd0299436a,20,28,16,76,39,98.0,18.0,18.0,82.0,24.0,,,,,
680bac63b8564035bdc9829015eabb27,37,58,0,85,14,13.0,98.0,0.0,5.0,54.0,,,,,
3d85de89c21744298e2007247d137018,9,42,0,30,12,,,,,,36.0,21.0,28.0,84.0,62.0
b63b4dc3a5594463b9e13ceab0cbc61f,40,16,45,58,4,,,,,,89.0,9.0,48.0,70.0,90.0
046a0df5cafd4613b2bb912d7da67785,41,26,63,40,95,,,,,,19.0,80.0,41.0,6.0,32.0
6786d50638ba4abc8b5305e517d2582e,37,100,95,27,54,,,,,,59.0,23.0,77.0,1.0,35.0
a9f948b24e6344bbbe493f43b118f68d,38,54,36,15,75,,,,,,99.0,63.0,97.0,4.0,13.0
8db06746792749739e781fd794e0d3ba,20,86,49,91,75,66.0,73.0,35.0,34.0,25.0,,,,,
ff233d5f6ced415d98007c0287ea7ff5,4,95,2,11,3,98.0,54.0,64.0,100.0,57.0,,,,,
5a10412954ae4d1b8ce6424dbef59fe6,35,67,92,33,12,39.0,79.0,94.0,9.0,93.0,,,,,
4e7ed827455a4762b428a656b3ee4d3b,34,91,7,28,81,,,,,,37.0,55.0,79.0,98.0,61.0
b8a6171f1ee34dc4bb048a8b405bfdc9,93,95,23,96,48,93.0,27.0,97.0,3.0,61.0,,,,,
be2d740a1e9b43bc90c7c006314d3441,42,67,25,97,14,45.0,56.0,93.0,85.0,100.0,,,,,
b0ae8f08c31e4bbcb36cb62b892e6161,82,51,68,74,63,,,,,,29.0,93.0,51.0,8.0,26.0
bd1531c837644bdab108d4482f65fafa,79,42,88,13,95,74.0,87.0,15.0,47.0,23.0,,,,,
96ef2ad6b97e470386c8adfe7bf47042,59,59,54,10,37,91.0,3.0,83.0,34.0,10.0,,,,,
98c7472a864e4a13829cfc0cfa02eaec,75,51,15,16,88,81.0,21.0,61.0,28.0,99.0,,,,,
d52721e719bc443ebb02bebb48729a4d,4,94,64,6,79,,,,,,38.0,0.0,97.0,10.0,83.0
5c62b3a23a3c463e8bd6cee631b1b099,23,84,50,66,29,1.0,68.0,74.0,15.0,76.0,,,,,
b540b30e039f4a258d6168bd2defe193,79,24,19,98,84,79.0,82.0,24.0,9.0,3.0,,,,,
0ba6eab94639447ba067bdac88bd13d1,28,74,93,51,10,61.0,10.0,70.0,19.0,53.0,,,,,
4ac9778d8da84ee48df56ac6f96b648a,82,9,25,83,22,97.0,8.0,70.0,68.0,24.0,,,,,
a34b6cf620534a42b1afdb65b289f224,44,99,87,87,2,,,,,,49.0,1.0,88.0,51.0,87.0
1a432f0a7daa49f080b6fce2de53790a,11,88,24,24,85,,,,,,95.0,35.0,15.0,86.0,23.0
48ca765192f54f7b8323d342df6a8f93,41,52,23,31,76,,,,,,57.0,5.0,98.0,97.0,82.0
5738811d70c2403fba8d03aa782a65e0,100,0,3,69,29,29.0,22.0,80.0,39.0,13.0,,,,,
40a26c600d274659b72ada9b2f32751e,68,58,20,10,12,,,,,,57.0,0.0,74.0,23.0,74.0
1d34d08e7a4c45d49c99e04cf0e98b3b,59,57,42,48,49,,,,,,1.0,56.0,54.0,90.0,31.0
7de31a516694434390ba58e3d2762bdc,24,39,89,31,6,,,,,,81.0,63.0,100.0,8.0,43.0
afbb411aa1234a8c93b7a88612f70c97,58,71,59,27,79,90.0,19.0,51.0,38.0,15.0,,,,,
cfa701cd2631400ba6d794d30db95301,18,89,60,13,23,53.0,36.0,32.0,39.0,5.0,,,,,
15ce6a664dc84a1eb2f9e5fa90164161,8,42,47,60,74,,,,,,51.0,26.0,55.0,83.0,99.0
8edddfcd1e524770bf897142fe716b14,46,92,44,49,70,99.0,32.0,53.0,71.0,90.0,,,,,
989bc4da9b37422baa8a616fc3b290d0,11,74,24,77,45,59.0,74.0,82.0,8.0,68.0,,,,,
c693da1139c641ca9e50aa42ca6dfda1,27,81,81,62,4,,,,,,38.0,95.0,39.0,10.0,49.0
e893be3d73544a6fa160745985c7504b,69,12,92,66,35,43.0,89.0,91.0,6.0,83.0,,,,,
